id,name,description_sale
scenario.product_141791,"PD2 S 180 AP Master 2C SOL/W","Rilevatore di presenza 2 canali, design Solfà, bianco"
scenario.product_141793,"PD2 S 180 AP Master 2C STA/W","Rilevatore di presenza 2 canali, design Standard, bianco"
scenario.product_141914,"PD2 S 180 CM Slave EDI/W","Rilevatore di presenza Slave, design EDIZIOdue, bianco"
scenario.product_141918,"PD2 S 180 CM Slave STA/W","Rilevatore di presenza Slave, design Standard, bianco"
scenario.product_141950,"PD2 S 180 NM Slave KAL","Rilevatore di presenza Slave, Placca di fissaggio Kallysto"
scenario.product_142366,"DES PD S","Set per impianto in soffito ribassato ( IT )"
scenario.product_141436,"PD2 180 UP Master 2C BEG/W","Rilevatore di presenza 2 canali, bianco"
scenario.product_141899,"Indoor 180 CM Kombi 2L EDI/W","Rilevatore di movimento 10A, 2L schema 0, design EDIZIOdue, bianco"
scenario.product_151722,"PD11 S 360 KNX/BE","Detettore di presenza KNX, beige"
scenario.product_151723,"PD11 S 360 KNX/B","Detettore di presenza KNX, marrone"
scenario.product_142545,"PD11 S 360 Slave/W","Detettore di presenza Slave, bianco"
scenario.product_141886,"PD2 S 180 C KNX SOL/WG","Rilevatore di presenza KNX, design Solfà, bianco-lucido"
scenario.product_141887,"PD2 S 180 C KNX SID/W","Rilevatore di presenza KNX, design Sidus, bianco"
scenario.product_141888,"PD2 S 180 C KNX STA/W","Rilevatore di presenza KNX, design Standard, bianco"
scenario.product_141889,"Indoor 180 CM Kombi EDI/W","Rilevatore di movimento 10A, design EDIZIOdue, bianco"
scenario.product_141891,"Indoor 180 CM Kombi SOL/W","Rilevatore di movimento 10A, design Solfà, bianco"
scenario.product_141892,"Indoor 180 CM Kombi SID/W","Rilevatore di movimento 10A, design Sidus, bianco"
scenario.product_141893,"Indoor 180 CM Kombi STA/W","Rilevatore di movimento 10A, design Standard, bianco"
scenario.product_141895,"Indoor 180 CM Minuterie KAL/W","Rilevatore di movimento per minuterie, 2 fili, design Kallysto, bianco"
scenario.product_141896,"Indoor 180 CM Minuterie SOL/W","Rilevatore di movimento per minuterie, 2 fili, design Solfà, bianco"
scenario.product_141897,"Indoor 180 CM Minuterie SID/W","Rilevatore di movimento per minuterie, 2 fili, design Sidus, bianco"
scenario.product_141898,"Indoor 180 CM Minuterie STA/W","Rilevatore di movimento per minuterie, 2 fili, design Standard, bianco"
scenario.product_141900,"Indoor 180 CM Kombi 2L KAL/W","Rilevatore di movimento 10A, 2L schema 0, design Kallysto, bianco"
scenario.product_141964,"PD2 S 180 NUP Master 1C BEG/W","Rilevatore di presenza 1 canale, bianco"
scenario.product_141976,"PD2 S 180 NAP KNX BEG/W","Rilevatore di presenza KNX, bianco"
scenario.product_141977,"DEF-2","Mollette incastro per rilevatori INC, forte"
scenario.product_141979,"APG EDI/DG","Scatola AP EDIZIOdue, grigio scuro"
scenario.product_141980,"ESI-RC-plus next/W","Zoccolo per montaggio su angoli rientranti, bianco"
scenario.product_141981,"ESI-RC-plus next/S","Zoccolo per montaggio su angoli rientranti, nero"
scenario.product_141983,"ESI-RC-plus next/SI","Zoccolo per montaggio su angoli rientranti, argento"
scenario.product_142448,"FO IR-PD DIMM","Scheda  di programmazione"
scenario.product_141987,"CS S UP/W","Coperchio colorato per rilevatori 360° UP, bianco"
scenario.product_142000,"CS S DE/BE","Coperchio colorato per rilevatori 360° INC, beige"
scenario.product_141998,"CS S DE/W","Coperchio colorato per rilevatori 360° INC, bianco"
scenario.product_141637,"CS S MAX DE/S","Coperchio colorato per rilevatori 360° INC, nero"
scenario.product_141573,"APG PD 24M/W","Scatola AP per rilevatori 360°-24m, bianco"
scenario.product_141639,"CS S MAX DE/HG","Coperchio colorato per rilevatori 360° INC, grigio chiaro"
scenario.product_141999,"CS S DE/B","Coperchio colorato per rilevatori 360° INC, marrone"
scenario.product_141710,"PD3 S 360 DE/W","Rilevatore di movimento 10A, bianco"
scenario.product_141635,"CS S DE/DG","Coperchio colorato per rilevatori 360° INC, grigio scuro"
scenario.product_141902,"Indoor 180 CM Kombi 2L SID/W","Rilevatore di movimento 10A, 2L schema 0, design Sidus, bianco"
scenario.product_141903,"Indoor 180 CM Kombi 2L STA/W","Rilevatore di movimento 10A, 2L schema 0, design Standard, bianco"
scenario.product_141904,"PD2 S 180 CM Master 1C EDI/W","Rilevatore di presenza 1 canale, design EDIZIOdue, bianco"
scenario.product_141906,"PD2 S 180 CM Master 1C SOL/W","Rilevatore di presenza 1 canale, design Solfà, bianco"
scenario.product_141907,"PD2 S 180 CM Master 1C SID/W","Rilevatore di presenza 1 canale, design Sidus, bianco"
scenario.product_141908,"PD2 S 180 CM Master 1C STA/W","Rilevatore di presenza 1 canale, design Standard, bianco"
scenario.product_151316,"PD2 S 180 CM Master 2C EDI/DG","Rilevatore di presenza 2 canali, design EDIZIOdue, grigio scuro"
scenario.product_151332,"PD2 S 180 CM Master 2C EDI/B","Rilevatore di presenza 2 canali, design EDIZIOdue, marrone"
scenario.product_151340,"PD2 S 180 CM Master 2C EDI/BE","Rilevatore di presenza 2 canali, design EDIZIOdue, beige"
scenario.product_151348,"PD2 S 180 CM Master 2C KAL/B","Rilevatore di presenza 2 canali, design Kallysto, marrone"
scenario.product_151356,"PD2 S 180 CM Master 2C KAL/BE","Rilevatore di presenza 2 canali, design Kallysto, beige"
scenario.product_151364,"PD2 S 180 CM Master 2C KAL/S","Rilevatore di presenza 2 canali, design Kallysto, nero"
scenario.product_151388,"PD2 S 180 CM Master 2C SID/WG","Rilevatore di presenza 2 canali, design Sidus, bianco-lucido"
scenario.product_141955,"PD2 S 180 NM 12-48V SOL","Rilevatore di presenza 12V-24V-48V, Placca di fissaggio Solfà"
scenario.product_151732,"PD11 S 360 Slave/DG","Detettore di presenza Slave, grigio scuro"
scenario.product_141916,"PD2 S 180 CM Slave SOL/W","Rilevatore di presenza Slave, design Solfà, bianco"
scenario.product_141845,"PD2 S 180 UP KNX KAL/W","Rilevatore di presenza KNX, design Kallysto, bianco"
scenario.product_141846,"PD2 S 180 UP KNX SOL/W","Rilevatore di presenza KNX, design Solfà, bianco"
scenario.product_142371,"AS IS EDI/B","Set adattatori, design EDIZIOdue, marrone"
scenario.product_142396,"IS C 2L EDI/B","Interruttore della luce intelligente, 2 fili, EDIZIOdue, marrone"
scenario.product_142344,"PD4 S 360 AP","Rilevatore di movimento 10A, bianco"
scenario.product_142179,"Indoor 180 C Kombi KAL/DG","Rilevatore di movimento 10A, design Kallysto, grigio scuro"
scenario.product_142180,"Indoor 180 C Minuterie KAL/DG","Rilevatore di movimento per minuterie, 2 fili, design Kallysto, grigio scuro"
scenario.product_142183,"PD2 S 180 C Master 1C KAL/DG","Rilevatore di presenza 1 canale, design Kallysto, grigio scuro"
scenario.product_142202,"Indoor 180 C Kombi 2L SID/AN","Rilevatore di movimento 10A, 2L schema 0, design Sidus, antracite"
scenario.product_142187,"Indoor 180 C Kombi SOL/W","Rilevatore di movimento 10A, design Solfà, bianco"
scenario.product_142188,"Indoor 180 C Minuterie SOL/W","Rilevatore di movimento per minuterie, 2 fili, design Solfà, bianco"
scenario.product_142189,"PD2 S 180 C 12-48V SOL/W","Rilevatore di presenza 12V-24V-48V, design Solfà, bianco"
scenario.product_142190,"PD2 S 180 C KNX SOL/W","Rilevatore di presenza KNX, design Solfà, bianco"
scenario.product_142200,"PD2 S 180 C Master 2C SID/AL","Rilevatore di presenza 2 canali, design Sidus, alluminio"
scenario.product_142195,"Indoor 180 C Kombi SID/AL","Rilevatore di movimento 10A, design Sidus, alluminio"
scenario.product_142196,"Indoor 180 C Minuterie SID/AL","Rilevatore di movimento per minuterie, 2 fili, design Sidus, alluminio"
scenario.product_142203,"Indoor 180 C Kombi SID/AN","Rilevatore di movimento 10A, design Sidus, antracite"
scenario.product_142204,"Indoor 180 C Minuterie SID/AN","Rilevatore di movimento per minuterie, 2 fili, design Sidus, antracite"
scenario.product_142206,"PD2 S 180 C KNX SID/AN","Rilevatore di presenza KNX, design Sidus, antracite"
scenario.product_142215,"PD2 S 180 C Master 1C SID/WG","Rilevatore di presenza 1 canale, design Sidus, bianco-lucido"
scenario.product_142208,"PD2 S 180 C Master 2C SID/AN","Rilevatore di presenza 2 canali, design Sidus, antracite"
scenario.product_142209,"PD2 S 180 C Slave SID/AN","Rilevatore di presenza Slave, design Sidus, antracite"
scenario.product_142210,"Indoor 180 C Kombi 2L SID/WG","Rilevatore di movimento 10A, 2L schema 0, design Sidus, bianco-lucido"
scenario.product_142214,"PD2 S 180 C KNX SID/WG","Rilevatore di presenza KNX, design Sidus, bianco-lucido"
scenario.product_142216,"PD2 S 180 C Master 2C SID/WG","Rilevatore di presenza 2 canali, design Sidus, bianco-lucido"
scenario.product_142486,"LT-PD9 S LC","Dispositivo di potenza"
scenario.product_142218,"AR SOL/WG","Telaio Solfà, bianco-lucido"
scenario.product_142219,"ZP-FS-180","Placca di montaggio in zinco per FS-180"
scenario.product_142221,"APG EDI/B","Scatola AP EDIZIOdue, marrone"
scenario.product_142222,"APG EDI/BE","Scatola AP EDIZIOdue, beige"
scenario.product_142224,"APG KAL/BE","Scatola AP Kallysto incl. Placca di fissaggio, beige"
scenario.product_142225,"APG KAL/DG","Scatola AP Kallysto incl. Placca di fissaggio, grigio scuro"
scenario.product_142227,"APG SID/AL","Scatola AP Sidus, alluminio"
scenario.product_142228,"APG SID/AN","Scatola AP Sidus, antracite"
scenario.product_141671,"AL20 BB/S","Lampada senza rilevatore di movimento, nero"
scenario.product_142036,"PD9 S 360 NM KNX","Rilevatore di presenza KNX, senza coperchio colorato"
scenario.product_142037,"PD9 S 360 NM Dimm","Rilevatore di presenza Dimm 1-10V, senza coperchio colorato"
scenario.product_142075,"PD2 S 360 DE DALI-DSI/W","Rilevatore di presenza Dimm DALI-DSI, bianco"
scenario.product_142034,"PD2 S MAX UP Master 2C/W","Rilevatore di presenza 2 canali, bianco"
scenario.product_142038,"PD2 S 360 DE KNX/W","Rilevatore di presenza KNX, bianco"
scenario.product_142039,"PD2 S 360 NME LON","Rilevatore di presenza LON, senza coperchio colorato"
scenario.product_142042,"PD2 S 360 DE Dimm/W","Rilevatore di presenza Dimm 1-10V, bianco"
scenario.product_142439,"FL2 LED 230/W","Faretto LED con rilevatore di movimento, bianco"
scenario.product_141990,"CS S UP/SI","Coperchio colorato per rilevatori 360° UP, argento"
scenario.product_141634,"CS S DE/S","Coperchio colorato per rilevatori 360° INC, nero"
scenario.product_141636,"CS S DE/HG","Coperchio colorato per rilevatori 360° INC, grigio chiaro"
scenario.product_141431,"PD4 360 AP","Rilevatore di movimento 10A, bianco"
scenario.product_141432,"Indoor R 180","Rilevatore di movimento, bianco"
scenario.product_141433,"Indoor T 180","Rilevatore di movimento, bianco"
scenario.product_141820,"Indoor 180 UP Kombi 2L KAL/W","Rilevatore di movimento 10A, 2L schema 0, design Kallysto, bianco"
scenario.product_141821,"Indoor 180 UP Kombi 2L SOL/W","Rilevatore di movimento 10A, 2L schema 0, design Solfà, bianco"
scenario.product_141440,"PROMO-Indoor","Promozione"
scenario.product_141442,"PROMO-PD4","Promozione"
scenario.product_141443,"DEF-1","Mollette incastro PD3/PD4 AP"
scenario.product_141450,"BSA Station","Stazione metereologica"
scenario.product_141451,"PD2 360 UP Dimm","Rilevatore di presenza Dimm 1-10V, bianco"
scenario.product_141452,"PD2 360 AP Dimm","Rilevatore di presenza Dimm 1-10V, bianco"
scenario.product_141454,"PD2 180 UP Dimm/W","Rilevatore di presenza Dimm 1-10V, bianco"
scenario.product_141455,"LR1 Clip","Crepuscolare per la reolazione constante della luce, bianco"
scenario.product_141457,"PD2 360 AP 24V-3A","Rilevatore di presenza 24V, bianco"
scenario.product_141458,"Indoor R 180 Kombi BEG","Rilevatore di movimento 10A, bianco"
scenario.product_141460,"PD3 360 DE","Rilevatore di movimento 10A, bianco"
scenario.product_141461,"PD2 360 DE 24V-3A","Rilevatore di presenza 24V, bianco"
scenario.product_141462,"RC-plus Funk 230V","Rilevatore di movimento 433MHz, bianco"
scenario.product_141464,"EM Funk UP","Ricevitore 433 MHz"
scenario.product_141465,"EM Funk SD","Ricevitore 433 MHz, bianco"
scenario.product_141466,"EM Funk AP","Ricevitore 433 MHz, bianco"
scenario.product_141467,"HS Funk","Trasmettitore portatile 433 MHz"
scenario.product_141158,"AL2 RC-plus 230/BBW","Lampada con rilevatore di movimento, bianco"
scenario.product_141160,"AL2 RC-plus/BBS","Lampada senza rilevatore di movimento, nero"
scenario.product_141161,"AL2 RC-plus 130/BBS","Lampada con rilevatore di movimento, nero"
scenario.product_141163,"AL2 RC-plus 270/BBS","Lampada con rilevatore di movimento, nero"
scenario.product_141164,"AL2 RC-plus/CHW","Lampada senza rilevatore di movimento, bianco"
scenario.product_141165,"AL2 RC-plus 130/CHW","Lampada con rilevatore di movimento, bianco"
scenario.product_141167,"AL2 RC-plus 270/CHW","Lampada con rilevatore di movimento, bianco"
scenario.product_141170,"AL2 RC-plus 230/OPW","Lampada con rilevatore di movimento, bianco"
scenario.product_141173,"AL2 RC-plus 130/OPS","Lampada con rilevatore di movimento, nero"
scenario.product_141175,"AL2 RC-plus 270/OPS","Lampada con rilevatore di movimento, nero"
scenario.product_141176,"AL2 RC-plus/OCW","Lampada senza rilevatore di movimento, bianco"
scenario.product_141177,"AL2 RC-plus 130/OCW","Lampada con rilevatore di movimento, bianco"
scenario.product_141178,"AL2 RC-plus 230/OCW","Lampada con rilevatore di movimento, bianco"
scenario.product_141179,"AL2 RC-plus 270/OCW","Lampada con rilevatore di movimento, bianco"
scenario.product_141180,"AL2 RC-plus/OCS","Lampada senza rilevatore di movimento, nero"
scenario.product_141181,"AL2 RC-plus 130/OCS","Lampada con rilevatore di movimento, nero"
scenario.product_141183,"AL2 RC-plus 270/OCS","Lampada con rilevatore di movimento, nero"
scenario.product_141672,"ESA-AL20/W","Zoccolo per montaggio su angoli sporgenti, bianco"
scenario.product_141673,"ESA-AL20/S","Zoccolo per montaggio su angoli sporgenti, nero"
scenario.product_141675,"AL20 280/S","Zoccolo lampada con rilevatore di movimento, nero"
scenario.product_141678,"AL20/S","Zoccolo lampada senza rilevatore di movimento, nero"
scenario.product_141681,"RC-plus 130 next/S","Rilevatore di movimento 13A, nero"
scenario.product_141682,"RC-plus 130 next/B","Rilevatore di movimento 13A, marrone"
scenario.product_141683,"RC-plus 230 next/W","Rilevatore di movimento 13A, bianco"
scenario.product_141684,"RC-plus 230 next/S","Rilevatore di movimento 13A, nero"
scenario.product_141685,"RC-plus 230 next/B","Rilevatore di movimento 13A, marrone"
scenario.product_141686,"RC-plus 230 next/SI","Rilevatore di movimento 13A, argento"
scenario.product_141688,"RC-plus 280 next/S","Rilevatore di movimento 13A, nero"
scenario.product_141689,"RC-plus 280 next/B","Rilevatore di movimento 13A, marrone"
scenario.product_141690,"ESA-RC-plus next/W","Zoccolo per montaggio su angoli sporgenti, bianco"
scenario.product_141691,"ESA-RC-plus next/S","Zoccolo per montaggio su angoli sporgenti, nero"
scenario.product_141692,"ESA-RC-plus next/B","Zoccolo per montaggio su angoli sporgenti, marrone"
scenario.product_141693,"ESA-RC-plus next/SI","Zoccolo per montaggio su angoli sporgenti, argento"
scenario.product_141703,"RC-plus 230/SI","Rilevatore di movimento 10A, argento"
scenario.product_142024,"PD3 S 360 NMU 24V","Rilevatore di movimento 24V, senza coperchio colorato"
scenario.product_141831,"PD2 S 180 UP Master 2C SOL/W","Rilevatore di presenza 2 canali, design Solfà, bianco"
scenario.product_141832,"PD2 S 180 UP Master 2C SID/W","Rilevatore di presenza 2 canali, design Sidus, bianco"
scenario.product_141956,"PD2 S 180 NM 12-48V SID","Rilevatore di presenza 12V-24V-48V, Placca di fissaggio Sidus"
scenario.product_141967,"PD2 S 180 NUP 12-48V BEG/W","Rilevatore di presenza 12V-24V-48V, bianco"
scenario.product_141804,"PD2 S 180 AP KNX EDI/W","Rilevatore di presenza KNX, design EDIZIOdue, bianco"
scenario.product_141806,"PD2 S 180 AP KNX KAL/W","Rilevatore di presenza KNX, design Solfà, bianco"
scenario.product_141807,"PD2 S 180 AP KNX SID/W","Rilevatore di presenza KNX, design Sidus, bianco"
scenario.product_142664,"IL1-RE35-3-S","Lampada LED con luce di emergenza"
scenario.product_142562,"PD2 S 180 UP DS EDI/W","Rilevatore di presenza digitalSTROM, design EDIZIOdue, bianco"
scenario.product_141810,"Indoor 180 UP Kombi KAL/W","Rilevatore di movimento 10A, design Kallysto, bianco"
scenario.product_141811,"Indoor 180 UP Kombi SOL/W","Rilevatore di movimento 10A, design Solfà, bianco"
scenario.product_141812,"Indoor 180 UP Kombi SID/W","Rilevatore di movimento 10A, design Sidus, bianco"
scenario.product_141814,"Indoor 180 UP Minuterie EDI/W","Rilevatore di movimento per minuterie, 2 fili, design EDIZIOdue, bianco"
scenario.product_141816,"Indoor 180 UP Minuterie SOL/W","Rilevatore di movimento per minuterie, 2 fili, design Solfà, bianco"
scenario.product_141817,"Indoor 180 UP Minuterie SID/W","Rilevatore di movimento per minuterie, 2 fili, design Sidus, bianco"
scenario.product_141823,"Indoor 180 UP Kombi 2L STA/W","Rilevatore di movimento 10A, 2L schema 0, design Standard, bianco"
scenario.product_142098,"Indoor 180 C Kombi 2L EDI/BE","Rilevatore di movimento 10A, 2L schema 0, design EDIZIOdue, beige"
scenario.product_141927,"PD2 S 180 CM KNX SID/W","Rilevatore di presenza KNX, design Sidus, bianco"
scenario.product_141928,"PD2 S 180 CM KNX STA/W","Rilevatore di presenza KNX, design Standard, bianco"
scenario.product_141929,"Indoor 180 NM Kombi EDI","Rilevatore di movimento 10A, Placca di fissaggio EDIZIOdue"
scenario.product_141931,"Indoor 180 NM Kombi SOL","Rilevatore di movimento 10A, Placca di fissaggio Solfà"
scenario.product_141932,"Indoor 180 NM Kombi SID","Rilevatore di movimento 10A, Placca di fissaggio Sidus"
scenario.product_141933,"Indoor 180 NM Minuterie EDI","Rilevatore di movimento per minuterie, 2 fili, Placca di fissaggio EDIZIOdue"
scenario.product_141934,"Indoor 180 NM Minuterie KAL","Rilevatore di movimento per minuterie, 2 fili, Placca di fissaggio Kallysto"
scenario.product_141935,"Indoor 180 NM Minuterie SOL","Rilevatore di movimento per minuterie, 2 fili, Placca di fissaggio Solfà"
scenario.product_141937,"Indoor 180 NM Kombi 2L EDI","Rilevatore di movimento 10A, 2L schema 0, Placca di fissaggio EDIZIOdue"
scenario.product_141938,"Indoor 180 NM Kombi 2L KAL","Rilevatore di movimento 10A, 2L schema 0, Placca di fissaggio Kallysto"
scenario.product_141942,"PD2 S 180 NM Master 1C KAL","Rilevatore di presenza 1 canale, Placca di fissaggio Kallysto"
scenario.product_141943,"PD2 S 180 NM Master 1C SOL","Rilevatore di presenza 1 canale, Placca di fissaggio Solfà"
scenario.product_141944,"PD2 S 180 NM Master 1C SID","Rilevatore di presenza 1 canale, Placca di fissaggio Sidus"
scenario.product_142575,"Logo-Sticker D F: Winterhalter + Fenner AG","Etichetta per depliant e cataloghi tascabili"
scenario.product_142576,"Logo-Sticker D F I: Otto Fischer AG","Etichetta per depliant e cataloghi tascabili"
scenario.product_142577,"Logo-Sticker D F: Electroplast SA","Etichetta per depliant e cataloghi tascabili"
scenario.product_141951,"PD2 S 180 NM Slave SOL","Rilevatore di presenza Slave, Placca di fissaggio Solfà"
scenario.product_R_BEG_021,"L’apparecchio lampeggia continuamente (difetto del sensore)","Sensore sostituito"
scenario.product_R_BEG_027,"Triac difettoso","Triac sostituito"
scenario.product_R_BEG_029,"Lampada risp. montatura di lampada diffetoso","Lampada risp. montatura di lampada sostituito"
scenario.product_141660,"AS BEG/WM","Set adattatori, design BEG, bianco-opaco"
scenario.product_142250,"PD9 360 DALI-DSI","Rilevatore di presenza Dimm DALI-DSI, bianco"
scenario.product_141838,"PD2 S 180 UP Slave STA/W","Rilevatore di presenza Slave, design Standard, bianco"
scenario.product_141794,"PD2 S 180 AP Slave EDI/W","Rilevatore di presenza Slave, design EDIZIOdue, bianco"
scenario.product_141795,"PD2 S 180 AP Slave KAL/W","Rilevatore di presenza Slave, design Kallysto, bianco"
scenario.product_141797,"PD2 S 180 AP Slave SID/W","Rilevatore di presenza Slave, design Sidus, bianco"
scenario.product_141974,"PD2 S 180 NAP Slave BEG/W","Rilevatore di presenza Slave, bianco"
scenario.product_141874,"PD2 S 180 C Slave EDI/W","Rilevatore di presenza Slave, design EDIZIOdue, bianco"
scenario.product_141875,"PD2 S 180 C Slave KAL/W","Rilevatore di presenza Slave, design Kallysto, bianco"
scenario.product_141876,"PD2 S 180 C Slave SOL/WG","Rilevatore di presenza Slave, design Solfà, bianco-lucido"
scenario.product_141878,"PD2 S 180 C Slave STA/W","Rilevatore di presenza Slave, design Standard, bianco"
scenario.product_142105,"PD2 S 180 C Slave EDI/BE","Rilevatore di presenza Slave, design EDIZIOdue, beige"
scenario.product_142113,"PD2 S 180 C Slave EDI/B","Rilevatore di presenza Slave, design EDIZIOdue, marrone"
scenario.product_142121,"PD2 S 180 C Slave EDI/S","Rilevatore di presenza Slave, design EDIZIOdue, nero"
scenario.product_142129,"PD2 S 180 C Slave EDI/HG","Rilevatore di presenza Slave, design EDIZIOdue, grigio chiaro"
scenario.product_142137,"PD2 S 180 C Slave EDI/DG","Rilevatore di presenza Slave, design EDIZIOdue, grigio scuro"
scenario.product_142145,"PD2 S 180 C Slave STA/S","Rilevatore di presenza Slave, design Standard, nero"
scenario.product_142153,"PD2 S 180 C Slave KAL/BE","Rilevatore di presenza Slave, design Kallysto, beige"
scenario.product_142161,"PD2 S 180 C Slave KAL/B","Rilevatore di presenza Slave, design Kallysto, marrone"
scenario.product_142031,"PD4 S 360 UP/W","Rilevatore di movimento 10A, bianco"
scenario.product_142491,"Pico 360 Master 1C IP65","Rilevatore di presenza 1 canale, bianco"
scenario.product_142492,"Pico 360 Slave IP65","Rilevatore di presenza Slave, bianco"
scenario.product_142502,"PD9 S1 360 Master 1C IP65","Rilevatore di presenza 1 canale, opale"
scenario.product_142496,"PD9 S1 360 LC","Rilevatore di movimento 10A, opale"
scenario.product_142493,"PD9 S1 360 DALI-DSI IP65","Rilevatore di presenza Dimm DALI-DSI, opale"
scenario.product_142498,"PD9 S1 360 Master 1C","Rilevatore di presenza 1 canale, opale"
scenario.product_142499,"PD9 S1 360 DALI-DSI","Rilevatore di presenza Dimm DALI-DSI, opale"
scenario.product_142500,"PD9 S1 360 Dimm","Rilevatore di presenza Dimm 1-10V, opale"
scenario.product_142501,"PD9 S1 360 Slave","Rilevatore di presenza Slave, opale"
scenario.product_142494,"PD9 S1 360 Dimm IP65","Rilevatore di presenza Dimm 1-10V, opale"
scenario.product_142504,"PD9 S1 360 KNX","Rilevatore di presenza KNX, opale"
scenario.product_142505,"PD9 S1 360 KNX IP65","Rilevatore di presenza KNX, opale"
scenario.product_142517,"PD2 MAX DE Trio","Rilevatore di presenza 2x luce, 1x RCV, bianco"
scenario.product_142518,"IR-PD Trio","Telecomando IR"
scenario.product_142519,"Dummy-PD9 S1","Imitazione, opale"
scenario.product_142520,"Dummy-PD9 S1 IP65","Imitazione, opale"
scenario.product_142521,"MGM M32 x 1.5","Controdado in ottone nichelato"
scenario.product_142524,"AD PD9 S1 IP65","Adattatore PD9 S1 IP65"
scenario.product_142525,"AD PD9 IL","Adattatore PD9 IL"
scenario.product_142559,"PD9 S 360 12-48V/BE","Rilevatore di movimento 12-48V, beige"
scenario.product_142561,"PD9 S 360 12-48V/SI","Rilevatore di movimento 12-48V, argento"
scenario.product_141809,"Indoor 180 UP Kombi EDI/W","Rilevatore di movimento 10A, design EDIZIOdue, bianco"
scenario.product_142564,"RC-plus 230 next DS/W","Rilevatore di movimento digitalSTROM, bianco"
scenario.product_141101,"M2-230/W","Rilevatore di movimento 230°, bianco"
scenario.product_141103,"AL2 RC-plus 130/DNW","Lampada con rilevatore di movimento, bianco"
scenario.product_141104,"AL2-130/W","Zoccolo lampada con rilevatore di movimento, bianco"
scenario.product_141105,"GL-AL-DN/W","Vetro di ricambio Downlight, bianco"
scenario.product_141113,"AL2-230/W","Zoccolo lampada con rilevatore di movimento, bianco"
scenario.product_141115,"AL2/W","Zoccolo lampada senza rilevatore di movimento, bianco"
scenario.product_141117,"AL2-130/S","Zoccolo lampada con rilevatore di movimento, nero"
scenario.product_141118,"AL2-230/S","Zoccolo lampada con rilevatore di movimento, nero"
scenario.product_141128,"GL-AL-DN/S","Vetro di ricambio Downlight, nero"
scenario.product_141129,"AL2 RC-plus 130/DNS","Lampada con rilevatore di movimento, nero"
scenario.product_141870,"PD2 S 180 C Master 2C KAL/W","Rilevatore di presenza 2 canali, design Kallysto, bianco"
scenario.product_141871,"PD2 S 180 C Master 2C SOL/WG","Rilevatore di presenza 2 canali, design Solfà, bianco-lucido"
scenario.product_141872,"PD2 S 180 C Master 2C SID/W","Rilevatore di presenza 2 canali, design Sidus, bianco"
scenario.product_141909,"PD2 S 180 CM Master 2C EDI/W","Rilevatore di presenza 2 canali, design EDIZIOdue, bianco"
scenario.product_141910,"PD2 S 180 CM Master 2C KAL/W","Rilevatore di presenza 2 canali, design Kallysto, bianco"
scenario.product_141911,"PD2 S 180 CM Master 2C SOL/W","Rilevatore di presenza 2 canali, design Solfà, bianco"
scenario.product_141912,"PD2 S 180 CM Master 2C SID/W","Rilevatore di presenza 2 canali, design Sidus, bianco"
scenario.product_141913,"PD2 S 180 CM Master 2C STA/W","Rilevatore di presenza 2 canali, design Standard, bianco"
scenario.product_141945,"PD2 S 180 NM Master 2C EDI","Rilevatore di presenza 2 canali, Placca di fissaggio EDIZIOdue"
scenario.product_141946,"PD2 S 180 NM Master 2C KAL","Rilevatore di presenza 2 canali, Placca di fissaggio Kallysto"
scenario.product_141947,"PD2 S 180 NM Master 2C SOL","Rilevatore di presenza 2 canali, Placca di fissaggio Solfà"
scenario.product_141948,"PD2 S 180 NM Master 2C SID","Rilevatore di presenza 2 canali, Placca di fissaggio Sidus"
scenario.product_142104,"PD2 S 180 C Master 2C EDI/BE","Rilevatore di presenza 2 canali, design EDIZIOdue, beige"
scenario.product_142120,"PD2 S 180 C Master 2C EDI/S","Rilevatore di presenza 2 canali, design EDIZIOdue, nero"
scenario.product_142128,"PD2 S 180 C Master 2C EDI/HG","Rilevatore di presenza 2 canali, design EDIZIOdue, grigio chiaro"
scenario.product_142136,"PD2 S 180 C Master 2C EDI/DG","Rilevatore di presenza 2 canali, design EDIZIOdue, grigio scuro"
scenario.product_142144,"PD2 S 180 C Master 2C STA/S","Rilevatore di presenza 2 canali, design Standard, nero"
scenario.product_142152,"PD2 S 180 C Master 2C KAL/BE","Rilevatore di presenza 2 canali, design Kallysto, beige"
scenario.product_142160,"PD2 S 180 C Master 2C KAL/B","Rilevatore di presenza 2 canali, design Kallysto, marrone"
scenario.product_142581,"Logo-Sticker D: A. Saesseli + Co. AG","Etichetta per depliant e cataloghi tascabili"
scenario.product_142582,"Logo-Sticker I: FABBRI SA","Etichetta per depliant e cataloghi tascabili"
scenario.product_142583,"Logo-Sticker D: TELPRO AG","Etichetta per depliant e cataloghi tascabili"
scenario.product_142841,"IL-Control 2.0","Light-Management-Controller"
scenario.product_142834,"MP-IL1-L120N","Placca per montaggio fuori muro IP43"
scenario.product_142449,"FO IR-PD DALI","Scheda  di programmazione"
scenario.product_141413,"IR-PD Mini","piccolo telecomando IR"
scenario.product_141785,"PD2 S 180 AP Master 1C KAL/W","Rilevatore di presenza 1 canale, design Kallysto, bianco"
scenario.product_141786,"PD2 S 180 AP Master 1C SOL/W","Rilevatore di presenza 1 canale, design Solfà, bianco"
scenario.product_141787,"PD2 S 180 AP Master 1C SID/W","Rilevatore di presenza 1 canale, design Sidus, bianco"
