id,name,description_sale
scenario.product_142264,"PD2 360 UP KNX -25°C","Rilevatore di presenza KNX, bianco"
scenario.product_R_BEG_002,"Condensatore difettoso","Condensatore sostituito"
scenario.product_R_BEG_003,"Relè difettoso","Relè sostituito"
scenario.product_R_BEG_004,"CDS difettoso","CDS sostituito"
scenario.product_R_BEG_005,"Meccanismo di regolazione difettoso","Meccanismo di regolazione sostituito"
scenario.product_R_BEG_007,"Custodia / parte di custodia difettosa","Custodia / parte di custodia sostituita"
scenario.product_R_BEG_008,"Protezione difettosa","Protezione sostituita"
scenario.product_R_BEG_009,"Alimentatore rete difettoso","Alimentatore rete sostituito"
scenario.product_R_BEG_010,"Trasformatore difettoso","Trasformatore sostituito"
scenario.product_R_BEG_011,"Ballast électronique défectueux","Alimentatore elettronico sostituito"
scenario.product_R_BEG_015,"Morsetto di collegamento difettoso / staccatto","Morsetto di collegamento sostituito"
scenario.product_R_BEG_030,"Batteria tampone scarica","Ricaricamento della batteria tampone"
scenario.product_142265,"RC-plus 230 next KNX/S","Rilevatore di movimento KNX, nero"
scenario.product_141745,"AS EDI/HG","Set adattatori, design EDIZIOdue, grigio chiaro"
scenario.product_141704,"PD3 S 360 UP/W","Rilevatore di movimento 10A, bianco"
scenario.product_142267,"Colore speciale","Supplemento"
scenario.product_141705,"PD3 S 360 UP 24V/W","Rilevatore di movimento 24V, bianco"
scenario.product_142021,"PD3 S 360 UP Micro/W","Rilevatore di movimento 10A, microfono, bianco"
scenario.product_142026,"PD3 S 360 DE 24V/W","Rilevatore di movimento 24V, bianco"
scenario.product_142316,"SK-PD9-KNX","Testa di sensore"
scenario.product_142319,"AC-PD S","Maschere ad innesto PD S, transparente"
scenario.product_142320,"Theben ELPA 3","Minuteria"
scenario.product_142322,"PD3 S 360 NMA","Rilevatore di movimento 10A, senza coperchio colorato"
scenario.product_141628,"CS S UP/S","Coperchio colorato per rilevatori 360° UP, nero"
scenario.product_141629,"CS S UP/DG","Coperchio colorato per rilevatori 360° UP, grigio scuro"
scenario.product_142060,"PD2 S MAX DE LON/W","Rilevatore di presenza LON, bianco"
scenario.product_142017,"PD2 S 360 NMU Slave","Rilevatore di presenza Slave, senza coperchio colorato"
scenario.product_142057,"PD2 S MAX NME Slave","Rilevatore di presenza Slave, senza coperchio colorato"
scenario.product_142466,"VK-PD9-Slave-3M","Prolunga di cavo testa del sensore 3 metri"
scenario.product_142040,"PD2 S 360 NME KNX","Rilevatore di presenza KNX, senza coperchio colorato"
