id,active,name,company_id/id,currency_id/id,discount_policy,item_ids
scenario.buildingprojectpricelist_07,True,Auftragsrabatt 7%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_08,True,Auftragsrabatt 8%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_09,True,Auftragsrabatt 9%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_10,True,Auftragsrabatt 10%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_11,True,Auftragsrabatt 11%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_12,True,Auftragsrabatt 12%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_13,True,Auftragsrabatt 13%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_14,True,Auftragsrabatt 14%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_15,True,Auftragsrabatt 15%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_16,True,Auftragsrabatt 16%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_17,True,Auftragsrabatt 17%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_18,True,Auftragsrabatt 18%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_19,True,Auftragsrabatt 19%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_20,True,Auftragsrabatt 20%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_25,True,Auftragsrabatt 25%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_30,True,Auftragsrabatt 30%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_35,True,Auftragsrabatt 35%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_40,True,Auftragsrabatt 40%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_45,True,Auftragsrabatt 45%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_47,True,Auftragsrabatt 47%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_49,True,Auftragsrabatt 49%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_50,True,Auftragsrabatt 50%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_51,True,Auftragsrabatt 51%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_52,True,Auftragsrabatt 52%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_53,True,Auftragsrabatt 53%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_54,True,Auftragsrabatt 54%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_55,True,Auftragsrabatt 55%,base.main_company,base.CHF,Show discount in the sale order,
scenario.buildingprojectpricelist_56,True,Auftragsrabatt 56%,base.main_company,base.CHF,Show discount in the sale order,
scenario.productpricelist_vk_hugewin,True,Verkauf an Hugewin,base.main_company,base.USD,Show discount in the sale order,
scenario.productpricelist_vk_beg,True,Verkauf an BEG,base.main_company,base.EUR,Show discount in the sale order,
scenario.productpricelist_export_hugewin,True,Export an Hugewin mit Proforma RG,base.main_company,base.USD,Show discount in the sale order,
scenario.productpricelist_export_beg,True,Export an BEG mit Proforma RG,base.main_company,base.EUR,Show discount in the sale order,
