id,product_min_qty,product_max_qty
scenario.orderpoint_142457,53,124
scenario.orderpoint_142458,1973,4385
scenario.orderpoint_142459,1973,4385
scenario.orderpoint_142468,66,149
scenario.orderpoint_142472,16,30
scenario.orderpoint_142473,17,50
scenario.orderpoint_142480,0,0
scenario.orderpoint_142485,861,1626
scenario.orderpoint_142486,861,1626
scenario.orderpoint_142487,194,581
scenario.orderpoint_142491,193,429
scenario.orderpoint_142492,45,89
scenario.orderpoint_142495,48,95
scenario.orderpoint_142496,28,53
scenario.orderpoint_142497,261,608
scenario.orderpoint_142498,28,52
scenario.orderpoint_142501,5,7
scenario.orderpoint_142502,48,113
scenario.orderpoint_142503,913,2131
scenario.orderpoint_142508,43,173
scenario.orderpoint_142509,29,110
scenario.orderpoint_142515,40,151
scenario.orderpoint_142516,7,22
scenario.orderpoint_142517,11,36
scenario.orderpoint_142518,17,69
scenario.orderpoint_142519,48,74
scenario.orderpoint_142520,5,6
scenario.orderpoint_142521,255,1019
scenario.orderpoint_142523,69,260
scenario.orderpoint_142525,579,2026
scenario.orderpoint_142527,18,59
scenario.orderpoint_142533,5,5
scenario.orderpoint_142534,6,10
scenario.orderpoint_142535,306,1071
scenario.orderpoint_142540,9,20
scenario.orderpoint_142542,6,9
scenario.orderpoint_142544,125,291
scenario.orderpoint_142545,20,40
scenario.orderpoint_142546,15,20
scenario.orderpoint_142547,29,68
scenario.orderpoint_142550,8,13
scenario.orderpoint_142551,15,29
scenario.orderpoint_142552,4,6
scenario.orderpoint_142553,14,29
scenario.orderpoint_142554,18,39
scenario.orderpoint_142562,39,90
scenario.orderpoint_142563,38,81
scenario.orderpoint_142564,42,98
scenario.orderpoint_142567,67,267
scenario.orderpoint_142568,8,25
scenario.orderpoint_142569,25,135
scenario.orderpoint_142570,6,8
scenario.orderpoint_142571,5,7
scenario.orderpoint_142574,0,0
scenario.orderpoint_142575,0,0
scenario.orderpoint_142576,0,0
scenario.orderpoint_142577,0,0
scenario.orderpoint_142578,0,0
scenario.orderpoint_142579,0,0
scenario.orderpoint_142580,0,0
scenario.orderpoint_142581,0,0
scenario.orderpoint_142582,0,0
scenario.orderpoint_142583,0,0
scenario.orderpoint_142584,7,8
scenario.orderpoint_142585,42,93
scenario.orderpoint_142586,28,52
scenario.orderpoint_142587,7,11
scenario.orderpoint_142588,12,24
scenario.orderpoint_142589,12,21
scenario.orderpoint_142590,5,8
scenario.orderpoint_142591,0,0
scenario.orderpoint_142596,3293,6220
scenario.orderpoint_142624,5,5
scenario.orderpoint_142626,0,0
scenario.orderpoint_142630,27,87
scenario.orderpoint_142631,41,163
scenario.orderpoint_142635,7,13
scenario.orderpoint_142638,12,41
scenario.orderpoint_142639,172,687
scenario.orderpoint_142642,2,3
scenario.orderpoint_142643,58,160
scenario.orderpoint_142694,211,633
scenario.orderpoint_142698,13,33
scenario.orderpoint_142710,135,538
scenario.orderpoint_142711,41,144
scenario.orderpoint_142712,15,49
scenario.orderpoint_142713,32,96
scenario.orderpoint_142714,4,10
scenario.orderpoint_142715,2,6
scenario.orderpoint_142716,3,5
scenario.orderpoint_142733,55,207
scenario.orderpoint_142734,10,24
scenario.orderpoint_142736,2,3
scenario.orderpoint_142740,3,5
scenario.orderpoint_142743,5,15
scenario.orderpoint_142744,15,46
scenario.orderpoint_142747,0,0
scenario.orderpoint_142748,31,93
scenario.orderpoint_142815,106,238
scenario.orderpoint_142819,10,22
scenario.orderpoint_142831,20,56
scenario.orderpoint_142832,8,16
scenario.orderpoint_142833,3,5
scenario.orderpoint_142834,21,69
scenario.orderpoint_142835,32,81
scenario.orderpoint_142836,17,52
scenario.orderpoint_142837,2,5
scenario.orderpoint_142838,2,3
scenario.orderpoint_142839,35,61
scenario.orderpoint_142841,419,1676
scenario.orderpoint_142842,105,733
scenario.orderpoint_142843,24,166
scenario.orderpoint_142844,61,397
scenario.orderpoint_142847,44,122
scenario.orderpoint_142848,43,108
scenario.orderpoint_142850,0,0
scenario.orderpoint_142851,46,137
scenario.orderpoint_142852,41,133
scenario.orderpoint_142853,200,699
scenario.orderpoint_142854,275,1030
scenario.orderpoint_142855,171,685
scenario.orderpoint_142856,17,54
scenario.orderpoint_142857,181,634
scenario.orderpoint_142860,96,674
scenario.orderpoint_142861,32,190
scenario.orderpoint_142862,29,158
scenario.orderpoint_142863,34,103
scenario.orderpoint_142864,39,108
scenario.orderpoint_142865,18,67
scenario.orderpoint_142866,5,24
scenario.orderpoint_142867,20,80
scenario.orderpoint_142868,6,12
scenario.orderpoint_142869,4,10
scenario.orderpoint_142870,84,209
scenario.orderpoint_142871,2,4
scenario.orderpoint_142872,7,21
scenario.orderpoint_142873,3,5
scenario.orderpoint_142881,73,201
scenario.orderpoint_142886,58,130
scenario.orderpoint_142888,101,277
scenario.orderpoint_142889,78,215
scenario.orderpoint_142890,24,59
scenario.orderpoint_142891,25,62
scenario.orderpoint_142892,72,180
scenario.orderpoint_142893,972,2674
scenario.orderpoint_142894,94,259
scenario.orderpoint_142896,562,1405
scenario.orderpoint_142898,0,0
scenario.orderpoint_142899,104,287
scenario.orderpoint_142900,27,68
scenario.orderpoint_142901,128,353
scenario.orderpoint_142902,120,329
scenario.orderpoint_142903,277,761
scenario.orderpoint_142905,48,72
scenario.orderpoint_142906,60,180
scenario.orderpoint_142907,62,154
scenario.orderpoint_142908,74,203
scenario.orderpoint_142912,4,8
scenario.orderpoint_142913,70,193
scenario.orderpoint_142914,11,19
scenario.orderpoint_142915,74,203
scenario.orderpoint_142916,36,98
scenario.orderpoint_142917,37,101
scenario.orderpoint_142918,126,347
scenario.orderpoint_142920,33,100
scenario.orderpoint_142921,437,1311
scenario.orderpoint_142926,17,30
scenario.orderpoint_142927,9,15
scenario.orderpoint_142928,37,110
scenario.orderpoint_142929,6,15
scenario.orderpoint_142930,15,23
scenario.orderpoint_142932,508,1652
scenario.orderpoint_142933,71,213
scenario.orderpoint_142934,36,98
scenario.orderpoint_142935,35,87
scenario.orderpoint_142936,397,1190
scenario.orderpoint_142937,41,103
scenario.orderpoint_142938,53,119
scenario.orderpoint_142939,29,65
scenario.orderpoint_142940,36,63
