id,name,categ_id/id,purchase_ok,sale_ok,type,product_manager/id,property_account_income_id,property_account_expense_id,receipt_checklist,supplier_taxes_id,taxes_id,description_purchase
product_template_sa_SA-Unterhalt/ReparaturenLOG(Beispielartikel),SA/LOG - Unterhalt / Reparaturen LOG,product_category_sa_Unterhalt/ReparaturenLOG,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-AusgangsfrachtenundPorti(Beispielartikel),SA/LOG - Ausgangsfrachten und Porti,product_category_sa_AusgangsfrachtenundPorti,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Wareneingang(Beispielartikel),SA/LOG - Wareneingang,product_category_sa_Wareneingang,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Büromobiliar/Büroeinrichtung(Beispielartikel),SA/LOG - Büromobiliar / Büroeinrichtung,product_category_sa_Büromobiliar/Büroeinrichtung,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-KleininvestitionenBüro(<Fr1500)(Beispielartikel),SA/LOG - Kleininvestitionen Büro (< Fr. 1500),product_category_sa_KleininvestitionenBüro(<Fr.1500),True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Kleininvestitionendivers(<Fr1500)(Beispielartikel),SA/LOG - Kleininvestitionen divers (< Fr. 1500),product_category_sa_Kleininvestitionendivers(<Fr.1500),True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-KleininvestitionenLagerbis(<Fr1500)(Beispielartikel),SA/LOG - Kleininvestitionen Lager bis (< Fr. 1500),product_category_sa_KleininvestitionenLagerbis(<Fr.1500),True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Lagermobiliar/Lagereinrichtung(Beispielartikel),SA/LOG - Lagermobiliar / Lagereinrichtung,product_category_sa_Lagermobiliar/Lagereinrichtung,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Büromaterial(Beispielartikel),SA/LOG - Büromaterial,product_category_sa_Büromaterial,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Kehrricht(Beispielartikel),SA/LOG - Kehrricht,product_category_sa_Kehrricht,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Reinigung/Reinigungsmaterial(Beispielartikel),SA/LOG - Reinigung/Reinigungsmaterial,product_category_sa_Reinigung/Reinigungsmaterial,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-ÜbrigerBüroaufwand(Beispielartikel),SA/LOG - Übriger Büroaufwand,product_category_sa_ÜbrigerBüroaufwand,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-VerpflegungMitarbeiterLOG(Beispielartikel),SA/LOG - Verpflegung Mitarbeiter LOG,product_category_sa_VerpflegungMitarbeiterLOG,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-BeschriftungEtiketten(Beispielartikel),SA/LOG - Beschriftung Etiketten,product_category_sa_BeschriftungEtiketten,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-EinkaufHilfsmaterial(Beispielartikel),SA/LOG - Einkauf Hilfsmaterial,product_category_sa_EinkaufHilfsmaterial,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Verpackungsmaterial(Beispielartikel),SA/LOG - Verpackungsmaterial,product_category_sa_Verpackungsmaterial,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Ausbildungsmaterial(Beispielartikel),SA/LOG - Ausbildungsmaterial,product_category_sa_Ausbildungsmaterial,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Messematerial/Dienstleistungen(Beispielartikel),SA/LOG - Messematerial/Dienstleistungen,product_category_sa_Messematerial/Dienstleistungen,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Mietzins/Büromobilien(Beispielartikel),SA/LOG - Mietzins/Büromobilien,product_category_sa_Mietzins/Büromobilien,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Unterhalt/ReparaturBüro(Beispielartikel),SA/LOG - Unterhalt / Reparatur Büro,product_category_sa_Unterhalt/ReparaturBüro,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Unterhalt/Reparaturdivers(Beispielartikel),SA/LOG - Unterhalt / Reparatur divers,product_category_sa_Unterhalt/Reparaturdivers,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Unterhalt/ReparaturLager(Beispielartikel),SA/LOG - Unterhalt / Reparatur Lager,product_category_sa_Unterhalt/ReparaturLager,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Unterhalt/ReparaturFahrzeuge(Beispielartikel),SA/LOG - Unterhalt /Reparatur Fahrzeuge,product_category_sa_Unterhalt/ReparaturFahrzeuge,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Eingangsfrachten(Beispielartikel),SA/LOG - Eingangsfrachten,product_category_sa_Eingangsfrachten,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Eingangsspedition(Beispielartikel),SA/LOG - Eingangsspedition,product_category_sa_Eingangsspedition,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Eingangzölle(Beispielartikel),SA/LOG - Einfuhrzölle IL,product_category_sa_Eingangzölle,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-zollbeg,SA/LOG - Einfuhrzölle BEG,product_category_sa_zollbeg,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-zolldivers,SA/LOG - Einfuhrzölle divers,product_category_sa_zolldivers,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Rabatte/PreisnachlässeP,SA/LOG - Einkaufspreisminderung Rabatte Produktion,product_category_sa_Rabatte/PreisnachlässeP,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur achat B&S (TN),TVA due a 8.0% (TN),
product_template_sa_SA-Rabatte/PreisnachlässeH,SA/LOG - Einkaufspreisminderung Rabatte Handel,product_category_sa_Rabatte/PreisnachlässeH,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur achat B&S (TN),TVA due a 8.0% (TN),
product_template_sa_SA-Rabatte/SkontiP,SA/LOG - Einkaufspreisminderung Skonti Produktion,product_category_sa_Rabatte/SkontiP,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur achat B&S (TN),TVA due a 8.0% (TN),
product_template_sa_SA-Rabatte/SkontiH,SA/LOG - Einkaufspreisminderung Skonti Handel,product_category_sa_Rabatte/SkontiH,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur achat B&S (TN),TVA due a 8.0% (TN),
product_template_sa_SA-Rabatte/UmsatzrückP,SA/LOG - Einkaufspreisminderung Umsatzrückvergütungen Produktion,product_category_sa_Rabatte/UmsatzrückP,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur achat B&S (TN),TVA due a 8.0% (TN),
product_template_sa_SA-Rabatte/UmsatzrückH,SA/LOG - Einkaufspreisminderung Umsatzrückvergütungen Handel,product_category_sa_Rabatte/UmsatzrückH,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur achat B&S (TN),TVA due a 8.0% (TN),
product_template_sa_SA-Rabatte/KursdiffP,SA/LOG - Einkaufspreisminderung Kursdifferenzen Produktion,product_category_sa_Rabatte/KursdiffP,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur achat B&S (TN),TVA due a 8.0% (TN),
product_template_sa_SA-Rabatte/KursdiffH,SA/LOG - Einkaufspreisminderung Kursdifferenzen Handel,product_category_sa_Rabatte/KursdiffH,True,False,consu,scenario.res_users_mwy,,,,TVA 8.0% sur achat B&S (TN),TVA due a 8.0% (TN),
product_template_sa_SA-BeratungundAnalyse(Beispielartikel),SA/MA - Beratung und Analyse,product_category_sa_BeratungundAnalyse,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-MessenundAusbildungMA(Beispielartikel),SA/MA - Messen und Ausbildung MA,product_category_sa_MessenundAusbildungMA,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Mitgliedschaften(Beispielartikel),SA/MA - Mitgliedschaften,product_category_sa_Mitgliedschaften,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Publikationen(Beispielartikel),SA/MA - Publikationen,product_category_sa_Publikationen,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Marktanalysen(Beispielartikel),SA/MA - Marktanalysen,product_category_sa_Marktanalysen,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Werbeberatung(Beispielartikel),SA/MA - Werbeberatung,product_category_sa_Werbeberatung,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Fachmessen/Ausstellungen(Beispielartikel),SA/MA - Fachmessen / Ausstellungen,product_category_sa_Fachmessen/Ausstellungen,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Schulungs-undAusbildungsmaterialMA(Beispielartikel),SA/MA - Schulungs- und Ausbildungsmaterial,product_category_sa_Schulungs-undAusbildungsmaterialMA,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Datenbank-Mitgliedschaften(Beispielartikel),SA/MA - Datenbank-Mitgliedschaften,product_category_sa_Datenbank-Mitgliedschaften,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Marketing-Mitgliedschaften(Beispielartikel),SA/MA - Marketing-Mitgliedschaften,product_category_sa_Marketing-Mitgliedschaften,True,False,consu,scenario.res_users_bsc,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
