id,type,name,parent_id/id,property_stock_valuation_account_id,property_account_income_categ_id,property_account_expense_categ_id,property_stock_account_input_categ_id,property_stock_account_output_categ_id
product_category_sa_KleininvestitionenIT,normal,Kleininvestitionen IT,product_category_sa_IT,6574,6574,6574,6574,6574
product_category_sa_Papier/Couverts/Etiketten/â€¦,normal,"Papier, Couverts, Etiketten, â€¦",product_category_sa_IT,6501,6501,6501,6501,6501
product_category_sa_Infrastrukturintern,normal,Infrastruktur intern,product_category_sa_IT,1522,1522,1522,1522,1522
product_category_sa_Security,normal,Security,product_category_sa_IT,1524,1524,1524,1524,1524
product_category_sa_TelekommunikationTelefon,normal,Telekommunikation Telefon,product_category_sa_IT,6510,6510,6510,6510,6510
product_category_sa_TelekommunikationInternet,normal,Telekommunikation Internet,product_category_sa_IT,6512,6512,6512,6512,6512
product_category_sa_SupportIT,normal,Support IT,product_category_sa_IT,6571,6571,6571,6571,6571
product_category_sa_BeschaffungDivers,normal,Beschaffung Divers,product_category_sa_Nst,6574,6574,6574,6574,6574
product_category_sa_Hardware,normal,Hardware,product_category_sa_Nst,1520,1520,1520,1520,1520
product_category_sa_HardwareKleininvestitionen,normal,Hardware Kleininvestitionen,product_category_sa_Nst,6574,6574,6574,6574,6574
product_category_sa_Software,normal,Software,product_category_sa_Nst,1521,1521,1521,1521,1521
product_category_sa_SoftwareKleininvestitionen,normal,Software Kleininvestitionen,product_category_sa_Nst,6570,6570,6570,6570,6570
product_category_sa_SchulungNst,normal,Schulung Nst,product_category_sa_Nst,6582,6582,6582,6582,6582
product_category_sa_Produktmanagement,view,SA/PM - Produktmanagement,scenario.product_category_sa_EKDIV,,,,,
product_category_sa_AnschaffungenPM,view,Anschaffungen PM,product_category_sa_Produktmanagement,,,,,
product_category_sa_Entwicklung,view,Entwicklung,product_category_sa_Produktmanagement,,,,,
product_category_sa_Unterhalt/ReparaturenPM,normal,"Unterhalt, Reparaturen PM",product_category_sa_Produktmanagement,6104,6104,6104,6104,6104
product_category_sa_KleininvestitionenPM,normal,Kleininvestitionen PM,product_category_sa_AnschaffungenPM,6005,6005,6005,6005,6005
product_category_sa_Werkzeuge/Tools,normal,"Werkzeuge, Tools",product_category_sa_AnschaffungenPM,6005,6005,6005,6005,6005
