id,product_tmpl_id:id,product_uom:id,product_qty,active,routing_id/id,bom_line_ids/product_id/id,bom_line_ids/product_uom/id,bom_line_ids/product_qty
scenario.bom_151160,scenario.product_151160_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142234,product.product_uom_unit,1
scenario.bom_151160,scenario.product_151160_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141721,product.product_uom_unit,1
scenario.bom_151160,scenario.product_151160_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151161,scenario.product_151161_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142234,product.product_uom_unit,1
scenario.bom_151161,scenario.product_151161_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141753,product.product_uom_unit,1
scenario.bom_151161,scenario.product_151161_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141722,product.product_uom_unit,1
scenario.bom_151161,scenario.product_151161_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151162,scenario.product_151162_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141753,product.product_uom_unit,1
scenario.bom_151162,scenario.product_151162_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142234,product.product_uom_unit,1
scenario.bom_151162,scenario.product_151162_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151162,scenario.product_151162_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141723,product.product_uom_unit,1
scenario.bom_151163,scenario.product_151163_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142234,product.product_uom_unit,1
scenario.bom_151163,scenario.product_151163_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141753,product.product_uom_unit,1
scenario.bom_151163,scenario.product_151163_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141724,product.product_uom_unit,1
scenario.bom_151163,scenario.product_151163_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141730,product.product_uom_unit,1
scenario.bom_151164,scenario.product_151164_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151164,scenario.product_151164_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141719,product.product_uom_unit,1
scenario.bom_151164,scenario.product_151164_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142224,product.product_uom_unit,1
scenario.bom_151165,scenario.product_151165_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151165,scenario.product_151165_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142224,product.product_uom_unit,1
scenario.bom_151165,scenario.product_151165_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141720,product.product_uom_unit,1
scenario.bom_151166,scenario.product_151166_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151166,scenario.product_151166_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142224,product.product_uom_unit,1
scenario.bom_151166,scenario.product_151166_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141726,product.product_uom_unit,1
scenario.bom_151167,scenario.product_151167_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
scenario.bom_151167,scenario.product_151167_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141721,product.product_uom_unit,1
scenario.bom_151167,scenario.product_151167_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_142224,product.product_uom_unit,1
scenario.bom_151168,scenario.product_151168_product_template,product.product_uom_unit,1,true,scenario.mrp_routing_intern,scenario.product_141754,product.product_uom_unit,1
